Hebrew,English,"2015, I-Xll","2016, I","2016, I-II","2016, I-III","2016, I-IV","2016, I-V","2016, I-VI","2016, I-VII","2016, I-VIII","2016, IX","2016, X","2016, I-XI","2016, I-XII","2017, I","2017, I-II","2017, I-III","2017, I-IV","2017, I-V","2017, I-VI","2017, I-VII","2017, I-VIII","2017, I-IX","2017, I-X","2017, I-XI","2017, I-XII","2018, I","2018, I-II","2018, I-III","2018, I-IV","2018, I-V","2018, I-VI","2018, I-VII","2018, I-VIII","2018, I-IX","2018, I-X","2018, I-XI","2018, I-XII","2019, I ","2019, I-II","2019, I-III","2019, I-IV","2019, I-V","2019, I-VI","2019, I-VII","2019, I-VIII","2019, I-IX","2019, I-X","2019, I-XI","2019, I-XII","2020, I","2020, I-II","2020, I-III","2020, I-IV","2020, I-V","2020, I-VI","2020, I-VII","2020, I-VIII","2020, I-IX","2020, I-X","2020, I-XI","2020, I-XII","2021, I","2021, I-II","2021, I-III","2021, I-IV","2021, I-V","2021, I-VI","2021, I-VII","2021, I-VIII","2021, I-IX","2021, I-X","2021, I-XI","2021, I-XII","2022, I","2022, I-II","2022, I-III","2022, I-IV","2022, I-V","2022, I-VI","2022, I-VII","2022, I-VIII","2022, I-IX","2022, I-X","2022, I-XI","2022, I-XII","2023, I","2023, I-II","2023, I-III","2023, I-IV","2023, I-V","2023, I-VI","2023, I-VII","2023, I-VIII","2023, I-IX","2023, I-X"
עבירות על חוקי חירום,Violation of emergency laws,1452.0,129.0,257.0,378.0,493.0,607.0,731.0,865.0,976.0,1063.0,1122.0,1213.0,1291.0,126.0,230.0,357.0,454.0,561.0,594.0,770.0,873.0,953.0,1048.0,1132.0,1255.0,97.0,174.0,280.0,392.0,538.0,611.0,707.0,823.0,883.0,961.0,1045.0,1191.0,81.0,156.0,241.0,316.0,395.0,435.0,514.0,572.0,657.0,720.0,765.0,833.0,57.0,104.0,150.0,175.0,213.0,272.0,337.0,414.0,470.0,519.0,588.0,680.0,56.0,103.0,176.0,227.0,383.0,469.0,549.0,595.0,631.0,663.0,738.0,804.0,53.0,111.0,228.0,297.0,377.0,449.0,507.0,643.0,725.0,786.0,838.0,935.0,88.0,131.0,157.0,164.0,172.0,176.0,192.0,211.0,217.0,257.0
הסתננות(3),Infiltration(3),116.0,6.0,8.0,13.0,17.0,19.0,21.0,22.0,26.0,27.0,30.0,36.0,37.0,6.0,12.0,16.0,19.0,23.0,20.0,25.0,26.0,28.0,30.0,32.0,36.0,4.0,8.0,12.0,20.0,25.0,26.0,32.0,34.0,39.0,41.0,47.0,51.0,11.0,21.0,38.0,50.0,56.0,61.0,69.0,76.0,81.0,86.0,91.0,95.0,6.0,8.0,10.0,11.0,15.0,17.0,18.0,18.0,25.0,27.0,29.0,29.0,2.0,4.0,7.0,9.0,15.0,17.0,20.0,22.0,26.0,28.0,30.0,33.0,4.0,5.0,10.0,11.0,16.0,17.0,18.0,18.0,20.0,24.0,23.0,26.0,1.0,4.0,11.0,11.0,14.0,15.0,16.0,20.0,26.0,145.0
ידויי אבנים,Stone-throwing,6153.0,421.0,817.0,1215.0,1532.0,1829.0,2176.0,2498.0,2849.0,3142.0,3487.0,3839.0,4125.0,485.0,1045.0,1466.0,1848.0,2369.0,2610.0,3175.0,3584.0,3916.0,4327.0,4706.0,5347.0,503.0,955.0,1346.0,1743.0,2191.0,2490.0,2816.0,3087.0,3363.0,3721.0,4034.0,4403.0,334.0,613.0,919.0,1181.0,1446.0,1655.0,1935.0,2155.0,2385.0,2632.0,2946.0,3247.0,289.0,583.0,830.0,963.0,1151.0,1399.0,1591.0,1802.0,1971.0,2226.0,2467.0,2736.0,315.0,610.0,887.0,1193.0,2677.0,3119.0,3456.0,3796.0,4067.0,4396.0,4718.0,5060.0,388.0,725.0,1099.0,1519.0,1987.0,2358.0,2609.0,2984.0,3294.0,3845.0,4357.0,4730.0,376.0,747.0,1105.0,1405.0,1787.0,2131.0,2509.0,2826.0,3128.0,3487.0
השלכת בקבוק תבערה,Petrol bomb-throwing,828.0,62.0,128.0,185.0,226.0,267.0,313.0,353.0,388.0,424.0,450.0,482.0,527.0,69.0,122.0,181.0,226.0,271.0,317.0,329.0,356.0,387.0,424.0,479.0,553.0,86.0,150.0,197.0,239.0,310.0,347.0,394.0,422.0,452.0,479.0,518.0,549.0,41.0,72.0,121.0,156.0,183.0,219.0,248.0,268.0,301.0,338.0,359.0,393.0,30.0,60.0,69.0,81.0,111.0,147.0,191.0,209.0,238.0,273.0,303.0,316.0,23.0,50.0,67.0,94.0,142.0,187.0,212.0,248.0,278.0,316.0,345.0,371.0,34.0,73.0,116.0,146.0,174.0,204.0,230.0,271.0,297.0,330.0,358.0,390.0,24.0,52.0,63.0,89.0,118.0,140.0,164.0,176.0,199.0,237.0
הסתה,Incitement,334.0,37.0,80.0,111.0,135.0,160.0,190.0,229.0,274.0,296.0,329.0,353.0,393.0,49.0,69.0,80.0,89.0,114.0,95.0,132.0,144.0,146.0,156.0,162.0,176.0,8.0,17.0,21.0,26.0,27.0,30.0,34.0,38.0,40.0,45.0,44.0,48.0,7.0,8.0,19.0,22.0,24.0,28.0,37.0,40.0,43.0,45.0,50.0,54.0,4.0,7.0,14.0,16.0,17.0,24.0,30.0,35.0,45.0,50.0,51.0,55.0,2.0,2.0,5.0,9.0,36.0,36.0,39.0,42.0,51.0,52.0,54.0,61.0,5.0,9.0,20.0,36.0,48.0,59.0,61.0,63.0,69.0,74.0,77.0,84.0,18.0,30.0,63.0,75.0,74.0,74.0,81.0,86.0,93.0,212.0
עבירות אחרות,Other offences,9965.0,724.0,1541.0,2494.0,3097.0,3843.0,4594.0,5392.0,6138.0,6726.0,7348.0,7945.0,8534.0,846.0,1631.0,2446.0,3142.0,3943.0,4553.0,5559.0,6386.0,7020.0,7741.0,8459.0,9171.0,795.0,1540.0,2297.0,3026.0,3796.0,4462.0,5177.0,5806.0,6306.0,6937.0,7546.0,8094.0,812.0,1472.0,2169.0,2849.0,3584.0,4209.0,4948.0,5626.0,6289.0,6953.0,7544.0,8136.0,731.0,1502.0,2096.0,2540.0,3239.0,3940.0,4583.0,5249.0,5764.0,6485.0,7093.0,7769.0,803.0,1544.0,2334.0,3072.0,4466.0,5334.0,6189.0,6971.0,7617.0,8343.0,9071.0,9723.0,807.0,1705.0,2621.0,3670.0,4635.0,5388.0,6080.0,6847.0,7549.0,8305.0,9069.0,9827.0,1016.0,1948.0,3004.0,3870.0,4732.0,5552.0,6436.0,7313.0,8092.0,9645.0
קטטות והפרעות,Brawls and disturbing the peace,2998.0,198.0,397.0,673.0,905.0,1180.0,1476.0,1808.0,2086.0,2345.0,2571.0,2838.0,3095.0,194.0,417.0,683.0,912.0,1160.0,1479.0,1683.0,1911.0,2166.0,2470.0,2711.0,2950.0,217.0,447.0,730.0,968.0,1231.0,1465.0,1710.0,1949.0,2202.0,2464.0,2739.0,2941.0,191.0,418.0,655.0,870.0,1119.0,1373.0,1650.0,1895.0,2159.0,2395.0,2647.0,2876.0,209.0,466.0,710.0,900.0,1178.0,1475.0,1740.0,1996.0,2207.0,2422.0,2668.0,2855.0,198.0,382.0,601.0,851.0,1254.0,1473.0,1727.0,1928.0,2129.0,2375.0,2610.0,2823.0,195.0,378.0,566.0,794.0,1043.0,1283.0,1468.0,1651.0,1866.0,2084.0,2345.0,2607.0,188.0,338.0,563.0,759.0,963.0,1180.0,1407.0,1600.0,1811.0,2014.0
הסגות גבול,Trespass,9045.0,715.0,1396.0,2141.0,2774.0,3499.0,4269.0,5020.0,5917.0,6672.0,7362.0,8189.0,8868.0,793.0,1546.0,2431.0,3220.0,4058.0,4946.0,5708.0,6524.0,7213.0,8031.0,8692.0,9352.0,761.0,1445.0,2153.0,2860.0,3581.0,4285.0,5042.0,5749.0,6345.0,7135.0,7798.0,8547.0,696.0,1269.0,1930.0,2527.0,3228.0,3931.0,4673.0,5321.0,5933.0,6612.0,7268.0,7877.0,629.0,1316.0,1865.0,2451.0,3256.0,4086.0,4935.0,5647.0,6254.0,7011.0,7686.0,8423.0,735.0,1418.0,2134.0,2846.0,3570.0,4335.0,5001.0,5748.0,6336.0,7037.0,7744.0,8484.0,719.0,1430.0,2195.0,2820.0,3639.0,4402.0,5148.0,5903.0,6610.0,7321.0,8118.0,8824.0,971.0,1938.0,2838.0,3523.0,4409.0,5257.0,6039.0,6811.0,7470.0,7998.0
איומים,Threats,55041.0,3932.0,8221.0,12818.0,17056.0,21726.0,26737.0,31761.0,36836.0,41587.0,45977.0,50372.0,54363.0,4267.0,8213.0,12816.0,17192.0,21998.0,26848.0,32109.0,36910.0,41260.0,45870.0,50138.0,54383.0,4059.0,8204.0,12931.0,17502.0,22265.0,26850.0,31934.0,36646.0,40966.0,45750.0,50308.0,54536.0,4234.0,8420.0,12658.0,16694.0,21297.0,25882.0,30581.0,35200.0,39662.0,43977.0,48297.0,52302.0,3808.0,7770.0,12089.0,16283.0,21675.0,27006.0,32224.0,37185.0,41877.0,46742.0,51285.0,56042.0,4258.0,8095.0,12781.0,17481.0,22325.0,27388.0,32102.0,37011.0,41346.0,46249.0,51071.0,55268.0,4098.0,8168.0,12683.0,17107.0,22117.0,26898.0,31641.0,36453.0,41057.0,45539.0,50594.0,55336.0,4821.0,9141.0,13959.0,18301.0,23355.0,28383.0,33472.0,38305.0,42898.0,47431.0
עבירות הנוגעות לנחלת המשפט,Offences against judicial authority,23260.0,1684.0,3562.0,5459.0,6322.0,8076.0,9783.0,11653.0,13546.0,15132.0,16749.0,18307.0,19756.0,1665.0,3035.0,4746.0,6387.0,8173.0,9842.0,11738.0,13430.0,14991.0,16682.0,18313.0,19836.0,1710.0,3225.0,4895.0,6627.0,8434.0,10057.0,11837.0,13541.0,15081.0,16782.0,18271.0,19743.0,1492.0,2923.0,4528.0,5979.0,7599.0,9173.0,10812.0,12417.0,14107.0,15646.0,16989.0,18344.0,1442.0,2853.0,4493.0,5993.0,7718.0,9349.0,11095.0,12770.0,14328.0,16054.0,17756.0,19387.0,1688.0,3189.0,4828.0,6387.0,8060.0,9653.0,11230.0,12904.0,14516.0,16103.0,17662.0,19056.0,1625.0,3175.0,4661.0,6139.0,7700.0,9227.0,10701.0,12253.0,13702.0,15217.0,16742.0,18163.0,1563.0,3050.0,4722.0,6141.0,7636.0,9243.0,10733.0,12333.0,13752.0,15150.0
