Hebrew,English,"2016, I-XII","2017, I-XII","2018, I-XII","2019, I-XII","2020, I-XII","2021, I-XII","2022, I-XII"
עבירות על חוקי חירום,Violation of emergency laws,1291.0,1255.0,1191.0,833.0,680.0,804.0,935.0
הסתננות(3),Infiltration(3),37.0,36.0,51.0,95.0,29.0,33.0,26.0
ידויי אבנים,Stone-throwing,4125.0,5347.0,4403.0,3247.0,2736.0,5060.0,4730.0
השלכת בקבוק תבערה,Petrol bomb-throwing,527.0,553.0,549.0,393.0,316.0,371.0,390.0
הסתה,Incitement,393.0,176.0,48.0,54.0,55.0,61.0,84.0
עבירות אחרות,Other offences,8534.0,9171.0,8094.0,8136.0,7769.0,9723.0,9827.0
קטטות והפרעות,Brawls and disturbing the peace,3095.0,2950.0,2941.0,2876.0,2855.0,2823.0,2607.0
הסגות גבול,Trespass,8868.0,9352.0,8547.0,7877.0,8423.0,8484.0,8824.0
איומים,Threats,54363.0,54383.0,54536.0,52302.0,56042.0,55268.0,55336.0
עבירות הנוגעות לנחלת המשפט,Offences against judicial authority,19756.0,19836.0,19743.0,18344.0,19387.0,19056.0,18163.0
משחקים אסורים והימורים,Forbidden games and gambling,511.0,553.0,441.0,445.0,363.0,382.0,269.0
"מטרד, רעש וחסימת דרך","Nuisance, noise and obstruction of public roads",1621.0,1624.0,1344.0,1450.0,1763.0,2198.0,1753.0
עבירות הנוגעות לנישואין,Offences relating to marriage,687.0,819.0,566.0,613.0,476.0,452.0,446.0
תקיפת שוטר והכשלתו,Assault on or foiling of police officer,11599.0,12020.0,11793.0,11084.0,11823.0,12099.0,9924.0
עבירות על חוק הכניסה לישראל,Violations of law of entry to Israel,13139.0,15075.0,15473.0,14664.0,15407.0,18672.0,14352.0
הפצת מחלות מין ומחלות אחרות,Spread of sexually transmitted and other diseases,0.0,0.0,0.0,0.0,175.0,176.0,79.0
עבירות אחרות,Other offences,25721.0,27108.0,27483.0,27634.0,29084.0,31529.0,29928.0
כלפי חיי אדם,Against a person's life,2071.0,994.0,912.0,889.0,1062.0,1164.0,1098.0
חבלה גופנית חמורה,Grievous bodily harm,5950.0,5576.0,5792.0,6421.0,6926.0,6840.0,6857.0
תקיפה,Assault,52885.0,52266.0,52680.0,50227.0,49798.0,51150.0,51648.0
